"Created","field_general_flat:add.png","-16777216"
"Preparing","field_business_flat:investment.png","-16728876"
"Published","field_business_flat:investor.png","-3361793"
"Saled","field_material:ic_local_atm_128.png","-10453621"
"Rejected","field_material:ic_call_missed_128.png","-1499549"
"Lost","field_business_flat:risk.png","-769226"
